Date,Time,Content,From
13/09/19, 8:54:12 PM, yup.. have food and do some streches, $h@lin!
‎13/09/19, 9:00:20 PM, ‎gif omitted, $h@lin!
13/09/19, 9:00:48 PM, not going home?!?, Mr. Buddy
13/09/19, 9:01:01 PM, no, $h@lin!
13/09/19, 9:01:31 PM, may be have to search new room, $h@lin!
13/09/19, 9:01:44 PM, y, Mr. Buddy
13/09/19, 9:02:26 PM, i told u know my roommate have to move to global village, $h@lin!
13/09/19, 9:02:43 PM, and we ll complete one year here, $h@lin!
‎13/09/19, 9:15:20 PM, ‎gif omitted, $h@lin!
13/09/19, 9:15:47 PM, just found while searching 🤣 ignore, $h@lin!
13/09/19, 10:22:59 PM, 😂😂😂😂, Mr. Buddy
13/09/19, 10:29:59 PM, why laughing, $h@lin!
‎13/09/19, 10:36:38 PM, ‎gif omitted, $h@lin!
13/09/19, 11:30:42 PM, machu, $h@lin!
14/09/19, 6:15:04 PM, have u played infection mode?, $h@lin!
14/09/19, 6:15:27 PM, season 9, $h@lin!
15/09/19, 1:51:32 PM, nope what's that, Mr. Buddy
15/09/19, 1:51:37 PM, in pubg??, Mr. Buddy
15/09/19, 1:56:22 PM, yup, $h@lin!
15/09/19, 1:56:39 PM, it ll be match between players and zombies, $h@lin!
15/09/19, 1:56:48 PM, i know, Mr. Buddy
15/09/19, 1:56:50 PM, we ll also turn as zombies, $h@lin!
15/09/19, 1:56:51 PM, i have played, Mr. Buddy
15/09/19, 1:57:11 PM, i saw yesterday 🤐, $h@lin!
15/09/19, 1:57:24 PM, it was funny being zombie, $h@lin!
15/09/19, 3:45:52 PM, pubg?, $h@lin!
https://apps.apple.com/in/app/bro-friends-dates-and-fwbs/id1049979758,,,
16/09/19, 2:17:04 PM, oye, $h@lin!
16/09/19, 2:17:19 PM, how much time it ll take, $h@lin!
16/09/19, 2:18:30 PM, ok finish it haramse, $h@lin!
‎16/09/19, 7:50:47 PM, MediaShared, $h@lin!
‎16/09/19, 7:50:47 PM, MediaShared, $h@lin!
‎16/09/19, 7:51:32 PM, ‎gif omitted, $h@lin!
17/09/19, 1:58:35 PM, lunch ?, $h@lin!
17/09/19, 3:06:26 PM, oye, $h@lin!
17/09/19, 3:06:31 PM, food?, $h@lin!
17/09/19, 7:05:20 PM, https://www.youtube.com/watch?v=eeg-qe7_pzm, Mr. Buddy
17/09/19, 7:35:21 PM, can i ask you something?, $h@lin!
17/09/19, 7:37:34 PM, yes, Mr. Buddy
17/09/19, 7:37:39 PM, you can proceed, Mr. Buddy
17/09/19, 7:42:46 PM, why do u act like this with me😒, $h@lin!
17/09/19, 7:43:18 PM, ???, Mr. Buddy
17/09/19, 7:44:14 PM, am i a outsider?, $h@lin!
17/09/19, 7:44:25 PM, shaft, Mr. Buddy
17/09/19, 7:44:47 PM, i didn’t join myself to the skit... sathish asked so i joined, $h@lin!
17/09/19, 7:44:51 PM, ‎you deleted this message., $h@lin!
17/09/19, 7:46:51 PM, if it is me ...u said u dnt like to be that type of interviewer 🤬 if it’s ur crush u are so happy doing it, $h@lin!
17/09/19, 7:48:10 PM, if u dnt like me i ll stay back, $h@lin!
17/09/19, 7:48:30 PM, what crush, Mr. Buddy
17/09/19, 7:48:37 PM, ur crush, $h@lin!
17/09/19, 7:48:45 PM, don't say that, Mr. Buddy
17/09/19, 7:48:56 PM, 😏, $h@lin!
17/09/19, 7:49:22 PM, ok ll not say, $h@lin!
17/09/19, 7:49:42 PM, if you dnt like say it, $h@lin!
17/09/19, 8:30:47 PM, hey, $h@lin!
17/09/19, 8:32:44 PM, sorry for this, $h@lin!
‎17/09/19, 8:34:12 PM, ‎gif omitted, $h@lin!
17/09/19, 8:36:04 PM, nothing like that man, Mr. Buddy
17/09/19, 8:36:22 PM, what’s your problem, $h@lin!
17/09/19, 8:36:27 PM, say it directly, $h@lin!
17/09/19, 8:36:51 PM, now what is your problem, Mr. Buddy
17/09/19, 8:38:07 PM, i thought just for fun u say hate me.. but in real also u behave like u hate me🤨, $h@lin!
17/09/19, 8:39:05 PM, i know i’m nothing and the frds we were before has been faded😒, $h@lin!
‎17/09/19, 8:39:33 PM, MediaShared, $h@lin!
17/09/19, 9:04:06 PM, no, Mr. Buddy
17/09/19, 9:04:09 PM, i don't remember, Mr. Buddy
17/09/19, 9:36:29 PM, good, $h@lin!
17/09/19, 9:36:56 PM, 😂, Mr. Buddy
17/09/19, 9:37:08 PM, 😱, $h@lin!
17/09/19, 9:37:29 PM, ???, Mr. Buddy
17/09/19, 9:37:44 PM, why u laughing, $h@lin!
17/09/19, 9:37:49 PM, forget me also, $h@lin!
17/09/19, 9:37:54 PM, smply, Mr. Buddy
17/09/19, 9:41:33 PM, ok, Mr. Buddy
17/09/19, 9:44:11 PM, u are happy to forget me, $h@lin!
17/09/19, 10:36:00 PM, ?!!!?, Mr. Buddy
17/09/19, 10:36:36 PM, this is how u reply to the person u dnt know😳, $h@lin!
17/09/19, 10:38:47 PM, ooo, Mr. Buddy
18/09/19, 7:44:33 AM, good morning, Mr. Buddy
18/09/19, 9:32:26 AM, good morning, $h@lin!
‎18/09/19, 9:48:25 PM, MediaShared, $h@lin!
‎18/09/19, 9:48:25 PM, MediaShared, $h@lin!
‎18/09/19, 9:48:25 PM, ‎gif omitted, $h@lin!
18/09/19, 9:56:47 PM, it is very funny please 🤣, $h@lin!
‎18/09/19, 9:57:17 PM, ‎gif omitted, $h@lin!
18/09/19, 11:41:35 PM, for those who hate girls, $h@lin!
https://youtu.be/PVxc5mIHVuQ,,,
19/09/19, 1:34:42 PM, anusha is looking for u, $h@lin!
19/09/19, 2:05:00 PM, cominh, Mr. Buddy
‎19/09/19, 7:03:32 PM, ‎audio omitted, Mr. Buddy
‎19/09/19, 7:03:47 PM, ‎audio omitted, $h@lin!
19/09/19, 7:52:33 PM, tomorrow u r booking can with vinay???, Mr. Buddy
19/09/19, 7:52:45 PM," cab""", Mr. Buddy
19/09/19, 7:59:46 PM, may be, $h@lin!
19/09/19, 7:59:53 PM, u ll come?, $h@lin!
19/09/19, 8:00:18 PM, arae say yes or no, Mr. Buddy
19/09/19, 8:00:39 PM, not sure we didn’t decide, $h@lin!
19/09/19, 8:00:51 PM, coz then i can say loki not to come here, Mr. Buddy
19/09/19, 8:01:02 PM, means?, $h@lin!
19/09/19, 8:01:15 PM, i can go with dada only, Mr. Buddy
19/09/19, 8:01:24 PM, fast confirm it and say, Mr. Buddy
19/09/19, 8:07:30 PM, ha i went for emission test, $h@lin!
19/09/19, 8:07:58 PM, ha, $h@lin!
19/09/19, 8:08:32 PM, 5min ll confirm, $h@lin!
19/09/19, 8:09:04 PM, ok man, Mr. Buddy
19/09/19, 8:10:05 PM, what u wearing, $h@lin!
19/09/19, 8:10:20 PM, formals man, Mr. Buddy
19/09/19, 8:10:34 PM, 🤔, $h@lin!
19/09/19, 8:10:42 PM, what about blazer!, $h@lin!
19/09/19, 8:13:50 PM, not yet confirmed, Mr. Buddy
19/09/19, 8:13:55 PM, it will be hot, Mr. Buddy
19/09/19, 8:16:18 PM, there ll be ac 🤣, $h@lin!
19/09/19, 8:16:33 PM, u may feel hot by looking at girls😂😂😂😂, $h@lin!
19/09/19, 8:18:52 PM, no coz i'm wearing black shirt, Mr. Buddy
19/09/19, 8:19:33 PM, i asked dada but he said u ll come with u.. i said u ll come with lokesh!😜, $h@lin!
19/09/19, 8:19:48 PM, black😳, $h@lin!
19/09/19, 8:23:04 PM, so with whom you are coming, Mr. Buddy
19/09/19, 8:23:45 PM, dada, $h@lin!
19/09/19, 8:23:59 PM, make sure lokesh ll come and pick u😲, $h@lin!
19/09/19, 8:24:11 PM, i said him now.. he said he ll not!!, $h@lin!
19/09/19, 8:24:49 PM, u ll come with him*, $h@lin!
19/09/19, 8:31:56 PM, send ur location, $h@lin!
19/09/19, 8:33:59 PM, i mean dada address👀, $h@lin!
19/09/19, 8:34:13 PM, dnt come late!🧐, $h@lin!
19/09/19, 8:42:31 PM, oye confirm with lokesh!! because dada have come so long to pick me up and he shouldn’t get late!, $h@lin!
19/09/19, 8:43:20 PM, lokesh said he ll come late!! confirm!, $h@lin!
19/09/19, 8:53:06 PM, one help!!, $h@lin!
19/09/19, 8:53:26 PM, can u send me the otp, $h@lin!
19/09/19, 8:54:44 PM, no otp has come, Mr. Buddy
19/09/19, 8:55:48 PM, check, $h@lin!
19/09/19, 8:56:28 PM, 167217, Mr. Buddy
19/09/19, 9:04:24 PM, one more time😬, $h@lin!
19/09/19, 9:05:16 PM, ok, Mr. Buddy
19/09/19, 9:05:24 PM, 438231, Mr. Buddy
19/09/19, 9:10:30 PM, have u taken the pic of ur script??, $h@lin!
19/09/19, 9:10:34 PM, i’m leaving now, $h@lin!
19/09/19, 9:10:50 PM, ha man..., Mr. Buddy
19/09/19, 9:10:54 PM, u want photo copy of ur script, $h@lin!
19/09/19, 9:11:02 PM, ok, Mr. Buddy
19/09/19, 9:11:13 PM, ok mean!, $h@lin!
19/09/19, 9:11:14 PM, send, Mr. Buddy
19/09/19, 9:11:27 PM, i thought u have already taken, $h@lin!
19/09/19, 9:12:55 PM, ok u left, Mr. Buddy
‎19/09/19, 9:13:10 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:10 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:11 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:11 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:12 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:12 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:13 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:13 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:14 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:14 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:15 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:15 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:16 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:16 PM, MediaShared, $h@lin!
‎19/09/19, 9:13:17 PM, MediaShared, $h@lin!
19/09/19, 9:13:21 PM, 😱, $h@lin!
19/09/19, 9:13:36 PM, thank u man, Mr. Buddy
19/09/19, 9:14:04 PM, i dnt want thanks!!! want something 😋, $h@lin!
19/09/19, 9:14:34 PM, q, Mr. Buddy
19/09/19, 9:14:57 PM, then i ll delete those pics!, $h@lin!
‎19/09/19, 9:15:15 PM, ‎gif omitted, $h@lin!
19/09/19, 10:23:48 PM, one help, $h@lin!
19/09/19, 10:23:58 PM, q, Mr. Buddy
19/09/19, 10:24:03 PM, dnt forget the shades, $h@lin!
19/09/19, 10:24:11 PM, okie, Mr. Buddy
19/09/19, 10:24:12 PM, q??🤨, $h@lin!
19/09/19, 10:24:21 PM, u dnt help me!!!, $h@lin!
19/09/19, 10:24:33 PM, i give, Mr. Buddy
19/09/19, 10:24:45 PM, that is not the help!!, $h@lin!
19/09/19, 10:24:54 PM, then, Mr. Buddy
19/09/19, 10:25:10 PM, at what time u get up?, $h@lin!
19/09/19, 10:25:18 PM, 7, Mr. Buddy
19/09/19, 10:25:24 PM, tomorrow, $h@lin!
19/09/19, 10:25:32 PM, 7, Mr. Buddy
19/09/19, 10:25:58 PM, can u distrub me?😐, $h@lin!
19/09/19, 10:26:06 PM, ok, Mr. Buddy
19/09/19, 10:26:29 PM, u understood 😮😮😮😮, $h@lin!
19/09/19, 10:26:45 PM, ur brain started working 😯, $h@lin!
19/09/19, 10:52:58 PM, hey dnt take it serious...had food?, $h@lin!
19/09/19, 11:24:15 PM, hey man, $h@lin!
‎19/09/19, 11:24:44 PM, MediaShared, $h@lin!
19/09/19, 11:25:19 PM, you dropped your laptop??!, Mr. Buddy
19/09/19, 11:25:28 PM, i had kept my bag on the vehicle 😣 and rohitha was there so went back to office, $h@lin!
19/09/19, 11:25:36 PM, i didn’t, $h@lin!
19/09/19, 11:25:58 PM, is it working??!, Mr. Buddy
19/09/19, 11:26:11 PM, ha, $h@lin!
19/09/19, 11:26:19 PM, she didn’t tell me anything 😑, $h@lin!
19/09/19, 11:26:28 PM, what shall i do!!, $h@lin!
19/09/19, 11:26:31 PM, may be she didn't do it, Mr. Buddy
19/09/19, 11:26:35 PM, it is too dented, $h@lin!
19/09/19, 11:26:53 PM, i told her to look after the bag and went, $h@lin!
19/09/19, 11:27:04 PM, may be it fall down from vehicle, $h@lin!
19/09/19, 11:27:05 PM, may be it happened some other time, Mr. Buddy
19/09/19, 11:27:23 PM, seriously?!, $h@lin!
19/09/19, 11:27:29 PM, no, $h@lin!
19/09/19, 11:27:50 PM, how to resolve this dent😭, $h@lin!
19/09/19, 11:28:02 PM, i don't know, Mr. Buddy
19/09/19, 11:28:03 PM, will get scoldings, $h@lin!
19/09/19, 11:28:14 PM, it's just on the corner, Mr. Buddy
19/09/19, 11:28:18 PM, no one gonna see that, Mr. Buddy
19/09/19, 11:28:41 PM, it is visible, $h@lin!
19/09/19, 11:28:49 PM, hmm, Mr. Buddy
19/09/19, 11:28:50 PM, it happened near power button, $h@lin!
19/09/19, 11:28:59 PM, ohw back side, Mr. Buddy
‎19/09/19, 11:29:38 PM, MediaShared, $h@lin!
19/09/19, 11:29:49 PM, do i have to inform dada?, $h@lin!
19/09/19, 11:29:50 PM, ohw, Mr. Buddy
19/09/19, 11:29:58 PM, but how come it's like that, Mr. Buddy
19/09/19, 11:30:02 PM, it's metal right, Mr. Buddy
19/09/19, 11:30:18 PM, i shouldn’t have kept it and go😭, $h@lin!
19/09/19, 11:30:23 PM, ha, $h@lin!
19/09/19, 11:30:31 PM, are u sure it happened today only, Mr. Buddy
19/09/19, 11:30:39 PM, my bag only got teared up, $h@lin!
19/09/19, 11:30:52 PM, ohww how, Mr. Buddy
19/09/19, 11:30:55 PM, yes man now, $h@lin!
19/09/19, 11:31:35 PM, i was going rohitha also leaving .. i told her that i ll drop her on the way and came down, $h@lin!
19/09/19, 11:31:43 PM, actually it is because of u, $h@lin!
19/09/19, 11:31:53 PM, what the fuck, Mr. Buddy
19/09/19, 11:32:07 PM, how willl it be because of me, Mr. Buddy
19/09/19, 11:32:18 PM, i stopped to take those pics, $h@lin!
19/09/19, 11:32:24 PM, and forgot my earphones, $h@lin!
19/09/19, 11:32:30 PM, dude did i ask you, Mr. Buddy
19/09/19, 11:32:40 PM, you asked me do you wanted, Mr. Buddy
19/09/19, 11:32:47 PM, so i said ok, Mr. Buddy
19/09/19, 11:32:56 PM, it’s my mistake, $h@lin!
19/09/19, 11:33:19 PM, simply said... dnt take it serious, $h@lin!
19/09/19, 11:33:20 PM, seriously haa finally u say it's bcz of me, Mr. Buddy
19/09/19, 11:33:28 PM, 😠, Mr. Buddy
19/09/19, 11:33:32 PM, ha everything is because of u, $h@lin!
19/09/19, 11:34:23 PM, if i didn’t forget my earphones i wouldn’t be keeping my bag and this wouldn’t be happening, $h@lin!
19/09/19, 11:35:02 PM, so u have to help me now😪, $h@lin!
19/09/19, 11:35:12 PM, what should i do, Mr. Buddy
19/09/19, 11:35:22 PM, it is metal right, $h@lin!
19/09/19, 11:35:39 PM, can we melt it and bring it to proper shape?, $h@lin!
19/09/19, 11:35:58 PM, 😂😂😂😂 you cannot do like that an all, Mr. Buddy
19/09/19, 11:36:23 PM, why?, $h@lin!
19/09/19, 11:36:30 PM, u said it is metal, $h@lin!
19/09/19, 11:36:37 PM, arae how will you do that an all, Mr. Buddy
19/09/19, 11:36:40 PM, see like how they remove dent in the car!!, $h@lin!
19/09/19, 11:36:53 PM, 😂😂😂, Mr. Buddy
19/09/19, 11:37:01 PM, 🤬, $h@lin!
19/09/19, 11:37:21 PM, i’m in heat and u are laughing🤬, $h@lin!
19/09/19, 11:37:57 PM, then you are joking, Mr. Buddy
19/09/19, 11:37:58 PM, first tell me do i have to tell dada🥺, $h@lin!
19/09/19, 11:38:18 PM, whatever i do u say it is joke🤬, $h@lin!
19/09/19, 11:38:18 PM, i don't know man.... never faced anything like that, Mr. Buddy
19/09/19, 11:38:30 PM, now ur frd is facing, $h@lin!
19/09/19, 11:38:41 PM, say something 👀, $h@lin!
19/09/19, 11:38:51 PM, what you will day, Mr. Buddy
19/09/19, 11:38:53 PM, say, Mr. Buddy
19/09/19, 11:39:15 PM, that this happened 😐, $h@lin!
19/09/19, 11:39:29 PM, my mouth wnt be shut, $h@lin!
19/09/19, 11:39:43 PM, tomorrow he only ll come to pick up!!, $h@lin!
19/09/19, 11:40:00 PM, but what do you think they will do  if they find out, Mr. Buddy
19/09/19, 11:40:03 PM, i may tell him, $h@lin!
19/09/19, 11:40:16 PM, scold!, $h@lin!
19/09/19, 11:40:21 PM, or bad impression, $h@lin!
19/09/19, 11:40:30 PM, i want to shut my mouth, $h@lin!
19/09/19, 11:42:13 PM, machu🥺, $h@lin!
19/09/19, 11:42:21 PM, may be i don't man.... before any one has done like this?, Mr. Buddy
19/09/19, 11:42:34 PM, i don’t know, $h@lin!
19/09/19, 11:42:45 PM, no one may be🙈, $h@lin!
19/09/19, 11:43:34 PM, all the best, Mr. Buddy
19/09/19, 11:43:43 PM, now everyone will have a example, Mr. Buddy
19/09/19, 11:44:00 PM, touch pad is not working properly 🙈, $h@lin!
19/09/19, 11:44:14 PM, they will not do anything, Mr. Buddy
19/09/19, 11:44:15 PM, nooooooo😭😭😭😭😭😭, $h@lin!
19/09/19, 11:45:10 PM, it’s all because of u, $h@lin!
19/09/19, 11:45:16 PM, fixit, $h@lin!
19/09/19, 11:45:19 PM, ohw, Mr. Buddy
19/09/19, 11:45:38 PM, yes fix, $h@lin!
19/09/19, 11:45:45 PM, cannot, Mr. Buddy
19/09/19, 11:46:09 PM, please, $h@lin!
19/09/19, 11:46:17 PM, what, Mr. Buddy
19/09/19, 11:46:19 PM, it started making noise, $h@lin!
19/09/19, 11:46:24 PM, 🥺🥺🥺🥺, $h@lin!
19/09/19, 11:46:27 PM, how will you fix it??!, Mr. Buddy
19/09/19, 11:46:34 PM, making me scared more and more, $h@lin!
‎19/09/19, 11:46:41 PM, ‎audio omitted, $h@lin!
19/09/19, 11:46:50 PM, listen to that sound!!, $h@lin!
19/09/19, 11:47:28 PM, 😪😪😪😪, $h@lin!
19/09/19, 11:47:32 PM, get backup of all your work once, Mr. Buddy
19/09/19, 11:47:44 PM, what u mean!!!, $h@lin!
19/09/19, 11:47:55 PM, it ll turn offf!!!🤯, $h@lin!
19/09/19, 11:48:10 PM, no in some case what if hard-disk or something gets corrupt, Mr. Buddy
19/09/19, 11:48:24 PM, ha, $h@lin!
19/09/19, 11:50:21 PM, ha, Mr. Buddy
19/09/19, 11:50:50 PM, shall i restart?, $h@lin!
19/09/19, 11:51:06 PM, hey it stopped making noise😲, $h@lin!
19/09/19, 11:51:24 PM, ok leave it like that only na don't do anything, Mr. Buddy
19/09/19, 11:51:47 PM, tomorrow or monday inform tl, Mr. Buddy
19/09/19, 11:52:10 PM, however that is old only na so i think they will not say anything, Mr. Buddy
19/09/19, 11:52:20 PM, 🤯, $h@lin!
19/09/19, 11:52:40 PM, first of all dada doesn’t like me, $h@lin!
19/09/19, 11:52:58 PM, ok i ll inform him monday, $h@lin!
19/09/19, 11:53:07 PM, y who said, Mr. Buddy
19/09/19, 11:53:30 PM, i feel so, $h@lin!
19/09/19, 11:54:03 PM, 🤣, $h@lin!
19/09/19, 11:54:17 PM, liking in the sense not like family, $h@lin!
19/09/19, 11:54:22 PM, common likes, $h@lin!
19/09/19, 11:54:36 PM, sometimes unknowingly u like someone, $h@lin!
19/09/19, 11:54:45 PM, and simply hate someone, $h@lin!
19/09/19, 11:55:17 PM, i dnt want him to me either🤣🤣, $h@lin!
19/09/19, 11:57:33 PM, see ... u like me so i feel comfortable to talk anything and nothing with u🤣, $h@lin!
19/09/19, 11:57:47 PM, may be, Mr. Buddy
19/09/19, 11:58:03 PM, what!!!, $h@lin!
19/09/19, 11:58:08 PM, may be?, $h@lin!
19/09/19, 11:58:12 PM, u dnt like me?, $h@lin!
19/09/19, 11:58:21 PM, no, Mr. Buddy
19/09/19, 11:58:23 PM, event, Mr. Buddy
19/09/19, 11:58:26 PM, enemmy, Mr. Buddy
19/09/19, 11:58:35 PM, 👿, $h@lin!
19/09/19, 11:58:57 PM, no, $h@lin!
19/09/19, 11:59:14 PM, we are ******** frds👻, $h@lin!
19/09/19, 11:59:43 PM, no enemies, Mr. Buddy
20/09/19, 12:00:41 AM, it sounds bad!!, $h@lin!
20/09/19, 12:00:57 AM, we are happy being enemies 👿👿, $h@lin!
20/09/19, 12:01:09 AM, yes, Mr. Buddy
20/09/19, 12:01:15 AM, jokes apart!!, $h@lin!
20/09/19, 12:01:27 AM, really u dnt like me, $h@lin!
20/09/19, 12:01:34 AM, yes, Mr. Buddy
20/09/19, 12:01:46 AM, i ll kick u ... if u lie, $h@lin!
20/09/19, 12:01:52 AM, truth, Mr. Buddy
20/09/19, 12:02:14 AM, i remember what u once said, $h@lin!
20/09/19, 12:04:29 AM, q, Mr. Buddy
20/09/19, 12:05:39 AM, i cnt answer to this question, $h@lin!
20/09/19, 12:05:53 AM, i don’t know i simply remember, $h@lin!
20/09/19, 12:06:21 AM, u know the another truth, $h@lin!
20/09/19, 12:06:44 AM, (i don’t like u either)2, $h@lin!
20/09/19, 12:08:49 AM, me too, Mr. Buddy
