[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[12/09/19, 6:39:19 PM] Mr. Buddy: I didn't see the message
[12/09/19, 6:39:25 PM] $h@lin!: It’s ok
[12/09/19, 6:39:33 PM] $h@lin!: Withdrawn
[12/09/19, 6:39:47 PM] $h@lin!: But I dnt no whether that conductor give change 😨
[12/09/19, 6:39:49 PM] Mr. Buddy: Ok
[12/09/19, 6:40:08 PM] Mr. Buddy: Go to some shop nearby
[12/09/19, 6:40:10 PM] $h@lin!: In ATM u dnt get 10s and 100s
[12/09/19, 6:40:14 PM] Mr. Buddy: They will give
[12/09/19, 6:40:26 PM] $h@lin!: All are automobile shops here
[12/09/19, 6:40:49 PM] $h@lin!: Ok leave anyway he have to give change
[12/09/19, 6:41:03 PM] $h@lin!: Two wordings he ll scold
[12/09/19, 6:41:05 PM] $h@lin!: Forget it
[12/09/19, 6:41:15 PM] $h@lin!: Reach safe.. dnt step on snake again
[12/09/19, 6:41:20 PM] Mr. Buddy: Okie
[12/09/19, 6:41:22 PM] Mr. Buddy: You to
[12/09/19, 6:41:25 PM] Mr. Buddy: Too
[12/09/19, 6:41:37 PM] $h@lin!: I ll not 😏
[12/09/19, 6:41:50 PM] Mr. Buddy: Ok
[12/09/19, 6:41:59 PM] $h@lin!: Ok?
[12/09/19, 6:42:05 PM] $h@lin!: Hate you
[12/09/19, 6:42:27 PM] Mr. Buddy: Ok
[12/09/19, 6:42:46 PM] $h@lin!: I hate ok more than I hate you 🤬
[12/09/19, 6:49:38 PM] Mr. Buddy: Me too
[12/09/19, 6:50:09 PM] $h@lin!: Then stop sending ok🤬
[12/09/19, 6:50:54 PM] Mr. Buddy: Ok
‎[12/09/19, 6:51:28 PM] $h@lin!: ‎GIF omitted
[12/09/19, 6:51:41 PM] Mr. Buddy: Ok
‎[12/09/19, 6:52:18 PM] $h@lin!: ‎GIF omitted
[13/09/19, 12:14:30 AM] $h@lin!: Wake up Abel ji.. wish ur macchi
[13/09/19, 10:24:44 AM] $h@lin!: In leave?
‎[13/09/19, 1:01:48 PM] $h@lin!: ‎GIF omitted
‎[13/09/19, 4:28:50 PM] $h@lin!: ‎GIF omitted
‎[13/09/19, 4:29:44 PM] $h@lin!: ‎GIF omitted
‎[13/09/19, 4:30:38 PM] $h@lin!: ‎GIF omitted
[13/09/19, 6:33:56 PM] $h@lin!: I hate you
[13/09/19, 6:34:33 PM] $h@lin!: I didn’t believe that u had chicken in kfc🥺
[13/09/19, 6:34:37 PM] $h@lin!: Cheater
[13/09/19, 7:04:57 PM] Mr. Buddy: 😂
[13/09/19, 7:11:29 PM] $h@lin!: Why u laughing
[13/09/19, 7:11:32 PM] $h@lin!: U cheated
[13/09/19, 7:11:36 PM] $h@lin!: Cheater*
[13/09/19, 7:11:46 PM] Mr. Buddy: No man we didn't go
[13/09/19, 7:11:59 PM] $h@lin!: 😱
[13/09/19, 7:12:17 PM] $h@lin!: Dnt change.. I may not believe u next time
[13/09/19, 7:12:30 PM] $h@lin!: I believed u so much
[13/09/19, 7:12:53 PM] $h@lin!: Tell the truth else I ll not believe u
[13/09/19, 7:13:02 PM] $h@lin!: From next time
[13/09/19, 7:21:40 PM] $h@lin!: I know u dnt lie in serious stuffs
[13/09/19, 7:21:57 PM] $h@lin!: Go and eat properly
[13/09/19, 7:22:48 PM] $h@lin!: Though u had I dnt mind.. chill
‎[13/09/19, 7:34:27 PM] $h@lin!: ‎image omitted
[13/09/19, 7:35:21 PM] $h@lin!: This much zoom with little clarity
[13/09/19, 8:31:35 PM] $h@lin!: Ignore the spam.. reached home?
[13/09/19, 8:47:35 PM] Mr. Buddy: Yes
[13/09/19, 8:47:36 PM] Mr. Buddy: U
[13/09/19, 8:54:12 PM] $h@lin!: Yup.. have food and do some streches
‎[13/09/19, 9:00:20 PM] $h@lin!: ‎GIF omitted
[13/09/19, 9:00:48 PM] Mr. Buddy: Not going home?!?
[13/09/19, 9:01:01 PM] $h@lin!: No
[13/09/19, 9:01:31 PM] $h@lin!: May be have to search new room
[13/09/19, 9:01:44 PM] Mr. Buddy: Y
[13/09/19, 9:02:26 PM] $h@lin!: I told u know my roommate have to move to global village
[13/09/19, 9:02:43 PM] $h@lin!: And we ll complete one year here
‎[13/09/19, 9:15:20 PM] $h@lin!: ‎GIF omitted
[13/09/19, 9:15:47 PM] $h@lin!: Just found while searching 🤣 ignore
[13/09/19, 10:22:59 PM] Mr. Buddy: 😂😂😂😂
[13/09/19, 10:29:59 PM] $h@lin!: Why laughing
‎[13/09/19, 10:36:38 PM] $h@lin!: ‎GIF omitted
[13/09/19, 11:30:42 PM] $h@lin!: Machu
[14/09/19, 6:15:04 PM] $h@lin!: Have u played infection mode?
[14/09/19, 6:15:27 PM] $h@lin!: Season 9
[15/09/19, 1:51:32 PM] Mr. Buddy: Nope what's that
[15/09/19, 1:51:37 PM] Mr. Buddy: In pubg??
[15/09/19, 1:56:22 PM] $h@lin!: Yup
[15/09/19, 1:56:39 PM] $h@lin!: It ll be match between players and zombies
[15/09/19, 1:56:48 PM] Mr. Buddy: I know
[15/09/19, 1:56:50 PM] $h@lin!: We ll also turn as zombies
[15/09/19, 1:56:51 PM] Mr. Buddy: I have played
[15/09/19, 1:57:11 PM] $h@lin!: I saw yesterday 🤐
[15/09/19, 1:57:24 PM] $h@lin!: It was funny being zombie
[15/09/19, 3:45:52 PM] $h@lin!: PUBG?
[15/09/19, 10:11:56 PM] $h@lin!: BRO: Friends, Dates, and FWBs by BroTech LLC
https://apps.apple.com/in/app/bro-friends-dates-and-fwbs/id1049979758
[16/09/19, 2:17:04 PM] $h@lin!: Oye
[16/09/19, 2:17:19 PM] $h@lin!: How much time it ll take
[16/09/19, 2:18:30 PM] $h@lin!: Ok finish it haramse
‎[16/09/19, 7:50:47 PM] $h@lin!: ‎image omitted
‎[16/09/19, 7:50:47 PM] $h@lin!: ‎image omitted
‎[16/09/19, 7:51:32 PM] $h@lin!: ‎GIF omitted
[17/09/19, 1:58:35 PM] $h@lin!: Lunch ?
[17/09/19, 3:06:26 PM] $h@lin!: Oye
[17/09/19, 3:06:31 PM] $h@lin!: Food?
[17/09/19, 7:05:20 PM] Mr. Buddy: https://www.youtube.com/watch?v=eeG-QE7_pZM
[17/09/19, 7:35:21 PM] $h@lin!: Can I ask you something?
[17/09/19, 7:37:34 PM] Mr. Buddy: Yes
[17/09/19, 7:37:39 PM] Mr. Buddy: You can proceed
[17/09/19, 7:42:46 PM] $h@lin!: Why do u act like this with me😒
[17/09/19, 7:43:18 PM] Mr. Buddy: ???
[17/09/19, 7:44:14 PM] $h@lin!: Am I a outsider?
[17/09/19, 7:44:25 PM] Mr. Buddy: Shaft
[17/09/19, 7:44:47 PM] $h@lin!: I didn’t join myself to the skit... Sathish asked so I joined
[17/09/19, 7:44:51 PM] $h@lin!: ‎You deleted this message.
[17/09/19, 7:46:51 PM] $h@lin!: If it is me ...U said u dnt like to be that type of interviewer 🤬 if it’s ur crush u are so happy doing it
[17/09/19, 7:48:10 PM] $h@lin!: If u dnt like me I ll stay back
[17/09/19, 7:48:30 PM] Mr. Buddy: What crush
[17/09/19, 7:48:37 PM] $h@lin!: Ur crush
[17/09/19, 7:48:45 PM] Mr. Buddy: Don't say that
[17/09/19, 7:48:56 PM] $h@lin!: 😏
[17/09/19, 7:49:22 PM] $h@lin!: Ok ll not say
[17/09/19, 7:49:42 PM] $h@lin!: If you dnt like say it
[17/09/19, 7:50:21 PM] $h@lin!: You ppl keep on saying it, I’m not feeling good
[17/09/19, 8:30:47 PM] $h@lin!: Hey
[17/09/19, 8:32:44 PM] $h@lin!: Sorry for this
‎[17/09/19, 8:34:12 PM] $h@lin!: ‎GIF omitted
[17/09/19, 8:36:04 PM] Mr. Buddy: Nothing like that man
[17/09/19, 8:36:22 PM] $h@lin!: What’s your problem
[17/09/19, 8:36:27 PM] $h@lin!: Say it directly
[17/09/19, 8:36:51 PM] Mr. Buddy: Now what is your problem
[17/09/19, 8:38:07 PM] $h@lin!: I thought just for fun u say hate me.. but in real also u behave like u hate me🤨
[17/09/19, 8:39:05 PM] $h@lin!: I know I’m nothing and the frds we were before has been faded😒
‎[17/09/19, 8:39:33 PM] $h@lin!: ‎image omitted
[17/09/19, 9:04:06 PM] Mr. Buddy: No
[17/09/19, 9:04:09 PM] Mr. Buddy: I don't remember
[17/09/19, 9:36:29 PM] $h@lin!: Good
[17/09/19, 9:36:56 PM] Mr. Buddy: 😂
[17/09/19, 9:37:08 PM] $h@lin!: 😱
[17/09/19, 9:37:29 PM] Mr. Buddy: ???
[17/09/19, 9:37:44 PM] $h@lin!: Why u laughing
[17/09/19, 9:37:49 PM] $h@lin!: Forget me also
[17/09/19, 9:37:54 PM] Mr. Buddy: Smply
[17/09/19, 9:41:33 PM] Mr. Buddy: Ok
[17/09/19, 9:44:11 PM] $h@lin!: U are happy to forget me
[17/09/19, 10:35:41 PM] $h@lin!: Hi, I’m Shalini
[17/09/19, 10:36:00 PM] Mr. Buddy: ?!!!?
[17/09/19, 10:36:36 PM] $h@lin!: This is how u reply to the person u dnt know😳
[17/09/19, 10:38:47 PM] Mr. Buddy: Ooo
[18/09/19, 7:44:33 AM] Mr. Buddy: Good morning
[18/09/19, 9:32:26 AM] $h@lin!: Good morning
‎[18/09/19, 9:48:25 PM] $h@lin!: ‎image omitted
‎[18/09/19, 9:48:25 PM] $h@lin!: ‎video omitted
‎[18/09/19, 9:48:25 PM] $h@lin!: ‎GIF omitted
[18/09/19, 9:56:47 PM] $h@lin!: It is very funny please 🤣
‎[18/09/19, 9:57:17 PM] $h@lin!: ‎GIF omitted
[18/09/19, 11:41:35 PM] $h@lin!: For those who hate girls


https://youtu.be/PVxc5mIHVuQ
[19/09/19, 1:34:42 PM] $h@lin!: Anusha is looking for u
[19/09/19, 2:05:00 PM] Mr. Buddy: Cominh
‎[19/09/19, 7:03:32 PM] Mr. Buddy: ‎audio omitted
‎[19/09/19, 7:03:47 PM] $h@lin!: ‎audio omitted
[19/09/19, 7:52:33 PM] Mr. Buddy: Tomorrow u r booking can with Vinay???
[19/09/19, 7:52:45 PM] Mr. Buddy: Cab"
[19/09/19, 7:59:46 PM] $h@lin!: May be
[19/09/19, 7:59:53 PM] $h@lin!: U ll come?
[19/09/19, 8:00:18 PM] Mr. Buddy: Arae say yes or no
[19/09/19, 8:00:39 PM] $h@lin!: Not sure we didn’t decide
[19/09/19, 8:00:51 PM] Mr. Buddy: Coz then I can say Loki not to come here
[19/09/19, 8:01:02 PM] $h@lin!: Means?
[19/09/19, 8:01:15 PM] Mr. Buddy: I can go with Dada only
[19/09/19, 8:01:24 PM] Mr. Buddy: Fast confirm it and say
[19/09/19, 8:07:30 PM] $h@lin!: Ha i went for emission test
[19/09/19, 8:07:58 PM] $h@lin!: Ha
[19/09/19, 8:08:32 PM] $h@lin!: 5min ll confirm
[19/09/19, 8:09:04 PM] Mr. Buddy: Ok man
[19/09/19, 8:10:05 PM] $h@lin!: What u wearing
[19/09/19, 8:10:20 PM] Mr. Buddy: Formals man
[19/09/19, 8:10:34 PM] $h@lin!: 🤔
[19/09/19, 8:10:42 PM] $h@lin!: What about blazer!
[19/09/19, 8:13:50 PM] Mr. Buddy: Not yet confirmed
[19/09/19, 8:13:55 PM] Mr. Buddy: It will be hot
[19/09/19, 8:16:18 PM] $h@lin!: There ll be AC 🤣
[19/09/19, 8:16:33 PM] $h@lin!: U May feel hot by looking at girls😂😂😂😂
[19/09/19, 8:18:52 PM] Mr. Buddy: No coz I'm wearing black shirt
[19/09/19, 8:19:33 PM] $h@lin!: I asked dada but he said u ll come with u.. I said u ll come with Lokesh!😜
[19/09/19, 8:19:48 PM] $h@lin!: Black😳
[19/09/19, 8:23:04 PM] Mr. Buddy: So with whom you are coming
[19/09/19, 8:23:45 PM] $h@lin!: Dada
[19/09/19, 8:23:59 PM] $h@lin!: Make sure Lokesh ll come and pick u😲
[19/09/19, 8:24:11 PM] $h@lin!: I said him now.. he said he ll not!!
[19/09/19, 8:24:49 PM] $h@lin!: U ll come with him*
[19/09/19, 8:31:56 PM] $h@lin!: Send ur location
[19/09/19, 8:33:59 PM] $h@lin!: I mean dada address👀
[19/09/19, 8:34:13 PM] $h@lin!: Dnt come late!🧐
[19/09/19, 8:42:31 PM] $h@lin!: Oye confirm with Lokesh!! Because dada have come so long to pick me up and he shouldn’t get late!
[19/09/19, 8:43:20 PM] $h@lin!: Lokesh said he ll come late!! Confirm!
[19/09/19, 8:53:06 PM] $h@lin!: One help!!
[19/09/19, 8:53:26 PM] $h@lin!: Can u send me the otp
[19/09/19, 8:54:44 PM] Mr. Buddy: No otp has come
[19/09/19, 8:55:48 PM] $h@lin!: Check
[19/09/19, 8:56:28 PM] Mr. Buddy: 167217
[19/09/19, 9:04:24 PM] $h@lin!: One more time😬
[19/09/19, 9:05:16 PM] Mr. Buddy: Ok
[19/09/19, 9:05:24 PM] Mr. Buddy: 438231
[19/09/19, 9:10:30 PM] $h@lin!: Have u taken the pic of ur script??
[19/09/19, 9:10:34 PM] $h@lin!: I’m leaving now
[19/09/19, 9:10:50 PM] Mr. Buddy: Ha man...
[19/09/19, 9:10:54 PM] $h@lin!: U want photo copy of ur script
[19/09/19, 9:11:02 PM] Mr. Buddy: Ok
[19/09/19, 9:11:13 PM] $h@lin!: Ok mean!
[19/09/19, 9:11:14 PM] Mr. Buddy: Send
[19/09/19, 9:11:27 PM] $h@lin!: I thought u have already taken
[19/09/19, 9:12:55 PM] Mr. Buddy: Ok u left
‎[19/09/19, 9:13:10 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:10 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:11 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:11 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:12 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:12 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:13 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:13 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:14 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:14 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:15 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:15 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:16 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:16 PM] $h@lin!: ‎image omitted
‎[19/09/19, 9:13:17 PM] $h@lin!: ‎image omitted
[19/09/19, 9:13:21 PM] $h@lin!: 😱
[19/09/19, 9:13:36 PM] Mr. Buddy: Thank u man
[19/09/19, 9:14:04 PM] $h@lin!: I dnt want thanks!!! want something 😋
[19/09/19, 9:14:34 PM] Mr. Buddy: Q
[19/09/19, 9:14:57 PM] $h@lin!: Then I ll delete those pics!
‎[19/09/19, 9:15:15 PM] $h@lin!: ‎GIF omitted
[19/09/19, 10:23:48 PM] $h@lin!: One help
[19/09/19, 10:23:58 PM] Mr. Buddy: Q
[19/09/19, 10:24:03 PM] $h@lin!: Dnt forget the shades
[19/09/19, 10:24:11 PM] Mr. Buddy: Okie
[19/09/19, 10:24:12 PM] $h@lin!: Q??🤨
[19/09/19, 10:24:21 PM] $h@lin!: U Dnt help me!!!
[19/09/19, 10:24:33 PM] Mr. Buddy: I give
[19/09/19, 10:24:45 PM] $h@lin!: That is not the help!!
[19/09/19, 10:24:54 PM] Mr. Buddy: Then
[19/09/19, 10:25:10 PM] $h@lin!: At what time u get up?
[19/09/19, 10:25:18 PM] Mr. Buddy: 7
[19/09/19, 10:25:24 PM] $h@lin!: Tomorrow
[19/09/19, 10:25:32 PM] Mr. Buddy: 7
[19/09/19, 10:25:58 PM] $h@lin!: Can u distrub me?😐
[19/09/19, 10:26:06 PM] Mr. Buddy: Ok
[19/09/19, 10:26:29 PM] $h@lin!: U understood 😮😮😮😮
[19/09/19, 10:26:45 PM] $h@lin!: Ur brain started working 😯
[19/09/19, 10:52:58 PM] $h@lin!: Hey dnt take it serious...had food?
[19/09/19, 11:24:15 PM] $h@lin!: Hey man
‎[19/09/19, 11:24:44 PM] $h@lin!: ‎image omitted
[19/09/19, 11:25:19 PM] Mr. Buddy: You dropped your laptop??!
[19/09/19, 11:25:28 PM] $h@lin!: I had kept my bag on the vehicle 😣 and rohitha was there so went back to office
[19/09/19, 11:25:36 PM] $h@lin!: I didn’t
[19/09/19, 11:25:58 PM] Mr. Buddy: Is it working??!
[19/09/19, 11:26:08 PM] $h@lin!: Now when I opened my bag, it was little teared and laptop is dented 😣
[19/09/19, 11:26:11 PM] $h@lin!: Ha
[19/09/19, 11:26:19 PM] $h@lin!: She didn’t tell me anything 😑
[19/09/19, 11:26:28 PM] $h@lin!: What shall I do!!
[19/09/19, 11:26:31 PM] Mr. Buddy: May be she didn't do it
[19/09/19, 11:26:35 PM] $h@lin!: It is too dented
[19/09/19, 11:26:53 PM] $h@lin!: I told her to look after the bag and went
[19/09/19, 11:27:04 PM] $h@lin!: May be it fall down from vehicle
[19/09/19, 11:27:05 PM] Mr. Buddy: May be it happened some other time
[19/09/19, 11:27:23 PM] $h@lin!: Seriously?!
[19/09/19, 11:27:29 PM] $h@lin!: No
[19/09/19, 11:27:50 PM] $h@lin!: How to resolve this dent😭
[19/09/19, 11:28:02 PM] Mr. Buddy: I don't know
[19/09/19, 11:28:03 PM] $h@lin!: Will get scoldings
[19/09/19, 11:28:14 PM] Mr. Buddy: It's just on the corner
[19/09/19, 11:28:18 PM] Mr. Buddy: No one gonna see that
[19/09/19, 11:28:41 PM] $h@lin!: It is visible
[19/09/19, 11:28:49 PM] Mr. Buddy: Hmm
[19/09/19, 11:28:50 PM] $h@lin!: It happened near power button
[19/09/19, 11:28:59 PM] Mr. Buddy: Ohw back side
‎[19/09/19, 11:29:38 PM] $h@lin!: ‎image omitted
[19/09/19, 11:29:49 PM] $h@lin!: Do I have to inform dada?
[19/09/19, 11:29:50 PM] Mr. Buddy: Ohw
[19/09/19, 11:29:58 PM] Mr. Buddy: But how come it's like that
[19/09/19, 11:30:02 PM] Mr. Buddy: It's metal right
[19/09/19, 11:30:18 PM] $h@lin!: I shouldn’t have kept it and go😭
[19/09/19, 11:30:23 PM] $h@lin!: Ha
[19/09/19, 11:30:31 PM] Mr. Buddy: Are u sure it happened today only
[19/09/19, 11:30:39 PM] $h@lin!: My bag only got teared up
[19/09/19, 11:30:52 PM] Mr. Buddy: Ohww how
[19/09/19, 11:30:55 PM] $h@lin!: Yes man now
[19/09/19, 11:31:35 PM] $h@lin!: I was going rohitha also leaving .. I told her that I ll drop her on the way and came down
[19/09/19, 11:31:43 PM] $h@lin!: Actually it is because of u
[19/09/19, 11:31:53 PM] Mr. Buddy: What the fuck
[19/09/19, 11:32:07 PM] Mr. Buddy: How willl it be because of me
[19/09/19, 11:32:18 PM] $h@lin!: I stopped to take those pics
[19/09/19, 11:32:24 PM] $h@lin!: And forgot my earphones
[19/09/19, 11:32:30 PM] Mr. Buddy: Dude did I ask you
[19/09/19, 11:32:40 PM] Mr. Buddy: You asked me do you wanted
[19/09/19, 11:32:47 PM] Mr. Buddy: So I said ok
[19/09/19, 11:32:56 PM] $h@lin!: It’s my mistake
[19/09/19, 11:33:19 PM] $h@lin!: Simply said... dnt take it serious
[19/09/19, 11:33:20 PM] Mr. Buddy: Seriously haa finally u say it's bcz of me
[19/09/19, 11:33:28 PM] Mr. Buddy: 😠
[19/09/19, 11:33:32 PM] $h@lin!: Ha everything is because of u
[19/09/19, 11:34:23 PM] $h@lin!: If I didn’t forget my earphones I wouldn’t be keeping my bag and this wouldn’t be happening
[19/09/19, 11:35:02 PM] $h@lin!: So u have to help me now😪
[19/09/19, 11:35:12 PM] Mr. Buddy: What should I do
[19/09/19, 11:35:22 PM] $h@lin!: It is metal right
[19/09/19, 11:35:39 PM] $h@lin!: Can we melt it and bring it to proper shape?
[19/09/19, 11:35:58 PM] Mr. Buddy: 😂😂😂😂 you cannot do like that an all
[19/09/19, 11:36:23 PM] $h@lin!: Why?
[19/09/19, 11:36:30 PM] $h@lin!: U said it is metal
[19/09/19, 11:36:37 PM] Mr. Buddy: Arae how will you do that an all
[19/09/19, 11:36:40 PM] $h@lin!: See like how they remove dent in the car!!
[19/09/19, 11:36:53 PM] Mr. Buddy: 😂😂😂
[19/09/19, 11:37:01 PM] $h@lin!: 🤬
[19/09/19, 11:37:21 PM] $h@lin!: I’m in heat and u are laughing🤬
[19/09/19, 11:37:57 PM] Mr. Buddy: Then you are joking
[19/09/19, 11:37:58 PM] $h@lin!: First tell me do I have to tell dada🥺
[19/09/19, 11:38:18 PM] $h@lin!: Whatever I do u say it is joke🤬
[19/09/19, 11:38:18 PM] Mr. Buddy: I don't know man.... Never faced anything like that
[19/09/19, 11:38:30 PM] $h@lin!: Now ur frd is facing
[19/09/19, 11:38:41 PM] $h@lin!: Say something 👀
[19/09/19, 11:38:51 PM] Mr. Buddy: What you will day
[19/09/19, 11:38:53 PM] Mr. Buddy: Say
[19/09/19, 11:39:15 PM] $h@lin!: That this happened 😐
[19/09/19, 11:39:29 PM] $h@lin!: My mouth wnt be shut
[19/09/19, 11:39:43 PM] $h@lin!: Tomorrow he only ll come to pick up!!
[19/09/19, 11:40:00 PM] Mr. Buddy: But what do you think they will do  if they find out
[19/09/19, 11:40:03 PM] $h@lin!: I may tell him
[19/09/19, 11:40:16 PM] $h@lin!: Scold!
[19/09/19, 11:40:21 PM] $h@lin!: Or bad impression
[19/09/19, 11:40:30 PM] $h@lin!: I want to shut my mouth
[19/09/19, 11:42:13 PM] $h@lin!: Machu🥺
[19/09/19, 11:42:21 PM] Mr. Buddy: May be I don't man.... Before any one has done like this?
[19/09/19, 11:42:34 PM] $h@lin!: I don’t know
[19/09/19, 11:42:45 PM] $h@lin!: No one may be🙈
[19/09/19, 11:43:34 PM] Mr. Buddy: All the best
[19/09/19, 11:43:43 PM] Mr. Buddy: Now everyone will have a example
[19/09/19, 11:44:00 PM] $h@lin!: Touch pad is not working properly 🙈
[19/09/19, 11:44:14 PM] Mr. Buddy: They will not do anything
[19/09/19, 11:44:15 PM] $h@lin!: Nooooooo😭😭😭😭😭😭
[19/09/19, 11:45:10 PM] $h@lin!: It’s all because of u
[19/09/19, 11:45:16 PM] $h@lin!: Fixit
[19/09/19, 11:45:19 PM] Mr. Buddy: Ohw
[19/09/19, 11:45:38 PM] $h@lin!: Yes fix
[19/09/19, 11:45:45 PM] Mr. Buddy: Cannot
[19/09/19, 11:46:09 PM] $h@lin!: Please
[19/09/19, 11:46:17 PM] Mr. Buddy: What
[19/09/19, 11:46:19 PM] $h@lin!: It started making noise
[19/09/19, 11:46:24 PM] $h@lin!: 🥺🥺🥺🥺
[19/09/19, 11:46:27 PM] Mr. Buddy: How will you fix it??!
[19/09/19, 11:46:34 PM] $h@lin!: Making me scared more and more
‎[19/09/19, 11:46:41 PM] $h@lin!: ‎audio omitted
[19/09/19, 11:46:50 PM] $h@lin!: Listen to that sound!!
[19/09/19, 11:47:28 PM] $h@lin!: 😪😪😪😪
[19/09/19, 11:47:32 PM] Mr. Buddy: Get backup of all your work once
[19/09/19, 11:47:44 PM] $h@lin!: What u mean!!!
[19/09/19, 11:47:55 PM] $h@lin!: It ll turn offf!!!🤯
[19/09/19, 11:48:10 PM] Mr. Buddy: No in some case what if hard-disk or something gets corrupt
[19/09/19, 11:48:24 PM] $h@lin!: Ha
[19/09/19, 11:50:21 PM] Mr. Buddy: Ha
[19/09/19, 11:50:50 PM] $h@lin!: Shall I restart?
[19/09/19, 11:51:06 PM] $h@lin!: Hey it stopped making noise😲
[19/09/19, 11:51:24 PM] Mr. Buddy: Ok leave it like that only na don't do anything
[19/09/19, 11:51:47 PM] Mr. Buddy: Tomorrow or Monday inform TL
[19/09/19, 11:52:10 PM] Mr. Buddy: However that is old only na so I think they will not say anything
[19/09/19, 11:52:20 PM] $h@lin!: 🤯
[19/09/19, 11:52:40 PM] $h@lin!: First of all dada doesn’t like me
[19/09/19, 11:52:58 PM] $h@lin!: Ok I ll inform him Monday
[19/09/19, 11:53:07 PM] Mr. Buddy: Y who said
[19/09/19, 11:53:30 PM] $h@lin!: I feel so
[19/09/19, 11:53:53 PM] Mr. Buddy: No one likes no one., it's company not family
[19/09/19, 11:54:03 PM] $h@lin!: 🤣
